Actual_GPP,Predicted_GPP_Optimized,Predicted_GPP_Linregress
4.27167,-2170.0822055422445,-2294.1828496049725
3.28068,-1187.6769778704345,-1959.2841461132025
5.34364,-2162.2988889188855,-2300.9876033158525
5.16187,-2285.8488311310753,-2411.1321975116402
3.55946,-840.4071448770561,-1899.7055345534618
4.63216,-2187.166066878817,-2318.0209413678203
4.25332,-1995.2319881311857,-2159.168843456549
4.10288,-1505.7126946818348,-2971.050787875468
4.07928,-1094.2447578831752,-2961.678038508888
4.63078,-284.2015314691232,-3123.0215298505937
4.99859,-758.4109097275733,-2954.171591748387
5.27033,-1142.4197420538244,-2867.5640467852
4.27895,-1335.7025405054246,-2008.2149943896416
2.31326,-1169.6432098216617,-1976.1724113403652
4.04467,-2125.89373136617,-2276.8546561958924
4.9326,-2159.6269278043455,-2715.4511928997545
4.34612,-2194.776529644838,-2413.761075244722
2.86326,-1493.1434784976325,-2117.387314961351
6.47883,-1596.3512726100932,-2202.184938327511
6.55149,-2052.719683389591,-2390.335007169241
6.30497,-1696.4183230644473,-2666.4460001936122
6.17445,-2186.782870936628,-2382.1540777748696
6.4171,-1903.6478417285052,-2210.7754827644303
5.74016,-1461.5069460304856,-2059.467301688616
6.02544,-1977.4627980751725,-2249.794324345114
6.68945,-2301.9602540839874,-2589.8766483759873
7.04435,-2237.9354299832403,-2323.1729599587566
10.0885,-2304.5819392343324,-2405.9305412422264
7.03258,-2444.331278605643,-2384.469221259371
7.15248,-2635.6611334241966,-2441.149643075382
7.80645,-2723.9983512861827,-2553.265936760939
5.98947,-1713.294104986891,-2139.3017678557785
6.99715,-2046.0863116174803,-2336.99518957951
9.18857,-1960.226323413844,-2733.7806028881478
12.1271,-2047.8412996112695,-2374.448817935539
4.22024,-652.4102248530622,-1901.172278260998
7.98282,-1824.6963725497158,-2792.272289331418
8.68391,-904.9370500994941,-2920.3145616166503
9.58543,-970.1587984627222,-2894.9468789311463
7.03509,-1747.8709497268442,-2168.4362503991097
5.31295,-1659.594153878662,-2065.944396698772
9.51779,-2311.2010128352867,-2531.6814779008328
6.8126,-1845.8708683199127,-2158.9811188094864
8.50009,-2100.247236892543,-2270.267761213982
10.1825,-2202.590359085275,-2514.440564280805
5.49179,-1466.2419784731558,-2082.4807745364915
9.72966,-1204.1596387705886,-2469.85330961777
5.92561,-1641.2737854757888,-2245.7229231616293
9.16538,-2167.004553761013,-2748.8998040003526
10.6505,-2463.637761693738,-2565.6497778087605
1.81279,-1359.8536867591022,-1894.1519629765405
7.62802,-1935.274899426447,-2179.4112858858725
11.1436,-2487.5321182901484,-2616.097056963473
11.597,-2300.466550232749,-2417.784477550766
10.8986,-2375.733125487682,-2570.1006794644773
9.63364,-1767.4544664124326,-2175.2695793730923
9.6772,-1377.0505912824299,-2083.2269015383954
11.1901,-2134.6569385328526,-2512.521226961171
6.76139,-1031.0159310998474,-2002.2397275207252
8.76247,-2013.6914957790204,-2404.1773749015642
7.83986,-1663.748117547965,-2155.4047025761156
8.12888,-1744.9017185345203,-2230.729867410662
5.98635,-1340.880586560404,-2024.6445388018958
8.67833,-1658.42528923681,-2265.197474988803
8.65885,-1603.9983713397876,-2408.5995472067734
8.46289,-1519.0189996978042,-2376.168256911994
7.53053,-1071.3705546843685,-2671.5517151550157
8.45715,-1378.856521516211,-2605.139815632563
6.67152,-1431.8231454498327,-2724.730290760139
8.09373,-1825.6814615534402,-2724.510817050246
8.32953,-1649.7354835141246,-2762.0139186697274
8.32947,-732.0291429768422,-2812.959482459005
6.08026,-1341.9854564978184,-2524.3699082889557
6.3823,-1697.3293015855027,-2674.6104285194606
4.90978,-2114.154533929519,-2302.639601088159
3.06854,-1927.9092376011586,-2166.3499121887144
1.65644,-1596.146176614408,-2093.2248475990473
5.58666,-2081.603234761916,-2341.105367986344
4.95779,-2306.476115974766,-2437.5607328872775
6.40938,-2334.0799303090575,-2531.2630972967754
2.87694,-1225.8898229370213,-2003.7926043761229
5.38179,-2044.7577734535232,-2593.6630341674763
0.094862,-1483.0729381217036,-1988.4710679766736
3.95681,-1606.5902049589274,-2123.4544399355805
3.83284,-1436.9680787496864,-2057.2081518902564
-0.463641,-419.33764549895517,-1844.451764850081
3.40546,-1650.8978100071452,-2108.2074448179637
4.96125,-2243.5594394508576,-2533.5168888542266
6.276,-1958.529735916404,-2243.931180450863
6.9918,-1941.4514911466822,-2447.5368983587177
8.98421,-1566.1581507960495,-2090.597138216847
5.56856,-906.7546167288625,-1927.4698896552432
10.2563,-1753.7329400948897,-2156.680718123939
9.83574,-2023.6855102848617,-2431.2871768085392
9.78443,-2028.2518319402031,-2426.182239699763
4.56263,-690.5439557445084,-1894.9743776594398
1.55933,-221.31731781178937,-1806.6961017554534
7.41089,-1836.01739793298,-2225.4064903860535
9.01772,-1902.3143309664533,-2311.0997091709432
8.72506,-2029.1194461357202,-2325.8375552480493
7.02134,-1611.3379325750122,-2343.1088584816343
5.83395,-2068.1192199178263,-2325.308116077128
5.23866,-2283.997327101894,-2280.6061823014047
4.73155,-1859.7391247685907,-2113.9028049574204
5.36829,-2000.6493675454285,-2202.123648067627
6.63731,-1876.3941669920305,-2280.0279225574895
6.37848,-1659.8551317890006,-2263.2185998773803
8.84872,-1658.463647501338,-2407.498957386877
8.33775,-1687.0747500995426,-2307.082493601709
2.03715,-975.8843972346757,-1932.3831696509806
5.18339,-2065.9722691327975,-2214.4634197606147
5.28178,-1682.3648088938928,-2093.1769931652193
6.40763,-1863.3003128022617,-2191.0254857105524
4.89428,-1260.7083535978775,-1974.1415771117026
4.42757,-1013.9792810747128,-1907.8221721993689
5.11138,-2156.181277360154,-2293.188757803457
3.00548,-757.4448489198038,-1869.2218729133517
5.04466,-1069.2808626221065,-1954.8508898305956
4.43749,-949.5120413651664,-1928.9898088922657
4.94306,-1895.8110326164795,-2162.6620727812146
4.81028,-2265.9129106954147,-2377.083905647597
4.74646,-2188.526465285622,-2371.2077318206143
4.29511,-2145.29134560376,-2352.7882144583505
2.35278,-755.5496701928552,-1853.9504936472476
3.35886,-1461.3142369570712,-2048.37116281598
3.10888,-2085.5608269971167,-2223.491611554639
3.22485,-2262.4785152491463,-2403.3916293976345
2.99711,-2242.4870815665026,-2294.2825966770515
2.70239,-2287.2803254257874,-2332.6431810576028
2.58287,-2081.6901346196496,-2252.7135976444
0.597049,-894.5687363089122,-1873.4586720663724
1.2336,-1201.6387631983023,-1951.4633323781802
1.29538,-1628.4248995299236,-2042.6870146552928
1.13988,-2132.2072271778206,-2201.007306251473
1.12392,-2447.800332784766,-2298.3488061076296
0.780705,-1655.2247815401884,-1960.5643830144718
0.393406,-1992.5782299573693,-2196.377163785505
0.368821,-2178.028809457741,-2133.1449344202147
0.331609,-2212.2080950747213,-2137.2969078185515
0.760916,-1884.8073888410356,-2097.969841660827
0.348751,-2384.399714151983,-2279.9992286691077
0.160455,-1300.7764455310014,-1875.0062433206494
-0.0974841,-1056.382283417698,-1908.1582653840276
0.183293,-2455.17825654388,-2392.581471119216
0.353921,-2684.3419723434636,-2391.0505226643286
0.41961,-2970.8612896314166,-2444.8680246674407
0.184369,-2667.677901900096,-2109.803658309719
0.239268,-1695.8477302496306,-2030.4811786464886
-0.0310478,-1183.9041707051367,-1866.0429699621948
0.231188,-1854.9883425365501,-2015.5288027519484
-0.122218,-1299.6812980100974,-1932.6155913190476
0.172293,-1285.1972759066512,-1913.9565043730422
0.191223,-1228.440743328708,-1909.2343601228388
0.0538896,-1407.931338828794,-1922.144943042491
-0.00205288,-2334.263920695047,-2149.0069545927763
0.320631,-2695.551075383221,-2150.5701615701346
-0.0323296,-2037.250495283632,-1941.0101644743063
-0.0278807,-1811.6759422603823,-1976.121776803665
0.00969749,-2701.3637546435543,-2240.4422220276833
0.258922,-3326.840537161694,-2301.771777044496
0.0744883,-2020.2462087012343,-2001.7853810383606
0.0526525,-2309.53337669134,-2126.512386746241
0.308084,-2677.3562712604803,-2232.991148206349
0.0643574,-1133.0640743044253,-1879.6954976568975
-0.258198,-632.0354587089225,-1811.148480964898
0.00621603,-2307.6728424896087,-2168.257562643864
0.416536,-2434.426199146154,-2146.5114240301073
0.139596,-2134.0132252908375,-2028.736797241839
-0.162247,-2313.943177298503,-2147.9945148779593
0.190666,-3186.5485091133637,-2146.7313150265663
0.0615622,-2977.7259153312048,-2227.2810242211403
-0.103369,-3172.669519048559,-2141.119311210019
0.0602702,-3272.438339693592,-2233.9930562159634
0.144449,-3078.3304631244473,-2269.530285041838
0.0120694,-2172.1876043774027,-2145.9409277476107
0.324073,-960.4711811290108,-1828.215913541307
0.0509227,-1285.5536223805352,-1896.6304458221969
0.219614,-1137.9447665665919,-1891.7065172199677
0.267227,-2552.043474414473,-2111.70002875899
0.217514,-2318.5359469047303,-2107.8260544996742
0.267322,-1832.5488599528105,-1965.6291079984387
0.136155,-1803.271202891974,-2041.6634294965406
0.07914,-2378.296503695331,-2072.1862423343105
0.0884554,-2260.9406727441797,-2053.4276182185467
-0.00313462,-942.2313144868853,-1852.3855224857086
0.0987281,-1130.2626162660954,-1871.4790817911087
0.0733211,-1507.1589923449144,-1936.0609834173024
0.00308807,-1043.33688369267,-1868.601939647646
0.0556935,-1443.566289105505,-1844.6478705548527
0.0223231,-1401.1411857538228,-1969.6366823032981
-0.0235608,-1967.496651135455,-2038.9690611924775
-0.0419368,-1305.3150087765787,-1878.787029827011
0.0365571,-1615.8932565954499,-1936.471550131242
-0.0112249,-1806.5132652735392,-2002.9618240212315
-0.0293031,-1821.4509822285227,-1950.1001331645336
-0.0552182,-2089.84640043215,-1990.4062360153277
0.132334,-2023.4960144784595,-1941.9151630865128
0.0826304,-1509.5431384796834,-1868.6653288014604
0.216121,-1701.552000849609,-1942.0396537046176
0.101141,-1128.1728531258025,-1856.8768208424808
-0.00714125,-1661.8303490718895,-1892.5208094369707
-0.0961663,-1697.5995787500647,-1979.6834011602791
-0.00168306,-1406.9076057748616,-1858.1551742090269
0.112411,-1671.3856437863465,-1975.4979464681542
0.109007,-1284.0986998671403,-1885.9843839968362
0.0168925,-2001.7102851609677,-1955.0573726743132
0.109476,-2120.4771570455473,-1989.3163634601297
0.00368658,-1707.0093519371949,-1930.1656067270028
0.0682666,-2041.7036857860073,-1986.4370134152996
0.241788,-1720.608418608465,-1907.0987337215277
0.347308,-1525.357531576317,-1870.247710164662
-0.13771,-2015.5511882442947,-2049.7674491215057
-0.104252,-2145.097376304112,-2026.7624387347073
0.00125316,-2077.0481124024855,-2043.4862013389181
0.0713449,-1555.26205403062,-1882.9903760173854
0.0701768,-2255.9864447463224,-2002.5389269593845
-0.388708,-2318.868306692227,-2115.881032686477
-0.27437,-2272.4317228382142,-2101.739205682672
0.0188991,-2372.381018783371,-2012.4743911199646
0.135119,-1993.3291161844209,-2031.6005423878876
0.280283,-1505.3963625964268,-1902.9476771794425
0.115375,-1746.6600887844731,-1971.577876719574
-0.0391685,-1976.2683834860063,-1992.2069413565093
0.162093,-1603.8253595563274,-1890.4097416013703
0.3328,-1153.6952224930737,-1892.9970225038755
0.14217,-1732.6764979951201,-1966.2053283097785
0.129112,-1897.3512432633565,-1934.7845278648851
0.0355469,-1456.5785973919158,-1878.491997269163
0.0342969,-1410.9364148547788,-1881.389789869239
0.0645225,-1590.0294333682689,-1936.0804390495205
-0.101309,-1913.7437842464683,-1945.569005123118
-0.17606,-1940.594778389574,-1932.1703628259681
-0.0543723,-1796.9677595874277,-1986.2005014067565
-0.243376,-2178.4783747073725,-2015.8942136746555
0.217172,-1769.5917501679396,-1961.784703544937
0.471491,-2417.003351851164,-2042.795432541741
0.633259,-1579.89119406401,-1862.68108619299
-0.0862484,-2014.6555733385926,-2029.6424609246674
-0.146185,-2335.6914131058734,-1962.0234035522512
-0.157432,-1984.3154307821096,-1953.9302396478395
-0.203435,-1967.4287947235089,-1937.4651690328678
-0.0649528,-1771.0115735397158,-1970.6689777481872
-0.284874,-2070.084604988597,-2076.1847960233445
-0.0685821,-1935.8612784699665,-1918.4280525799866
-0.105901,-2072.9105653110482,-2053.3404774263427
-0.116235,-2283.413658521166,-1937.9742467869783
-0.402261,-2318.016722513269,-2065.9341467326403
-0.566471,-2259.2118410279527,-2117.5630902971066
-0.0695492,-2252.673578382471,-1974.6302633987548
-0.149884,-2273.9695547072206,-2095.2517981855485
-0.0495241,-2259.3067876807136,-2064.0191336276175
-0.0279179,-2183.3354595813526,-2043.0476292376206
-0.0511769,-2249.799446974003,-2072.5077731739507
0.042656,-2518.3926496197414,-2112.030720690087
0.14798,-2567.3696324065318,-2113.4503057150428
0.202376,-2806.7796480640473,-2132.330768248973
0.306389,-2768.4071906794693,-2117.4817759647376
0.223324,-1940.9619879555758,-1945.6539470767143
-0.0703889,-2218.770158994726,-2123.9045116890165
0.0580302,-1924.8215009082508,-1946.1511367386931
0.0603846,-1381.417531175976,-1891.3974034168702
-0.140011,-1829.8688757584573,-2037.7524841493357
-0.237273,-1949.3943548932432,-2117.9072818052773
-0.10468,-1947.2178268744726,-2110.133380534679
-0.175214,-2049.634616046576,-2139.774364292851
-0.0779705,-1985.0961060905063,-2060.8999798514333
0.215509,-1883.336118436052,-1964.7073384528646
-0.111448,-1830.6459064726187,-1935.7165042104102
-0.416077,-1973.3987549920444,-2164.6301498137923
-0.31588,-2150.2520332900267,-1988.282115631376
-0.112419,-1938.2048535739114,-2039.8156845385295
-0.185786,-1938.2837732552514,-2050.6360883899315
0.0550397,-1644.3422849910205,-1881.1311995820517
-0.225448,-2115.82083786857,-2169.6059623016895
-0.0591408,-2229.582072291177,-2029.4200948867804
0.0187324,-2181.2913867998586,-2083.450237062365
-0.00705469,-2094.1331136692374,-2112.5965929150816
0.0326786,-2281.545454532122,-2180.528002620218
-0.0611708,-2227.8742442545627,-2113.5088999914688
0.00179606,-1962.0968786059586,-2118.977648878378
-0.00901471,-1387.7061550837627,-1878.9497807578525
-0.0170366,-1233.7599274020438,-1907.851667993131
-0.0207042,-1047.4630765918919,-1860.7569006838191
0.0404411,-1954.3880857047088,-2135.214284233093
0.0874616,-1947.9841091584888,-2058.4002364748385
-0.0497593,-2490.5428110156085,-2153.2893026908578
0.14854,-2445.2121863647358,-2183.9831304262575
-0.0134138,-1802.1382880768022,-1929.184352337841
-0.238836,-2328.6033158082296,-2241.1397249404226
-0.0869456,-2757.316961201869,-2340.0942080169993
-0.168721,-2759.3826104916398,-2345.953840660058
-0.25793,-3045.71508853877,-2388.6089426528233
-0.0800928,-2966.1449775225624,-2316.5108557792882
-0.0102412,-2473.030179500677,-2487.6522295076898
0.478601,-1825.5393761969008,-2040.1005394747192
-0.728993,-1958.126614618398,-2094.385424239362
-0.844186,-2207.9552211821015,-2264.7624948314306
-0.486323,-2508.9643306857097,-2334.433968532862
-0.634951,-2471.97278927339,-2298.1804061480043
-0.024725,-2475.74694559282,-2128.7604505444515
0.0767319,-1795.0708820250188,-2001.3274926292138
0.0762743,-1969.252185807931,-2003.2775328347375
-0.563039,-2344.2541421036126,-2299.3562966456843
-0.276519,-2570.0502102523164,-2322.0609631770903
0.143231,-2045.945629784285,-2023.3779246812621
0.120554,-1915.0116314183638,-2015.2353777922542
0.0537721,-1839.4989080474518,-1970.182583148934
0.0529537,-1426.7170949012323,-1916.677969948599
0.166227,-1504.090362377289,-2000.3858205905358
-0.0549072,-2008.4676390586558,-2167.986417212234
-0.113133,-748.4046820852594,-1853.6223796051559
0.113788,-2295.0744176248204,-2163.1569840629027
0.0423551,-2257.7044333386943,-2224.5286940935084
0.0893836,-1535.6434374834373,-2049.5269440449333
0.1088,-1311.3532466420354,-1930.728248741302
0.103798,-1655.8638178402282,-2070.7317781596284
0.112452,-2522.4277687856415,-2507.3247953799414
0.147305,-2777.374576845254,-2455.984303022665
0.221706,-2410.4011633324094,-2195.4370334199807
0.097083,-2685.178942335167,-2285.9436193437127
0.272303,-1487.730905385388,-2032.142958546241
0.00252781,-2192.9293561745394,-2264.3274641071866
0.0419093,-2319.271260376585,-2091.1532496308
0.204451,-2077.5122082018365,-2223.1415779834624
0.0849216,-2183.8692544553955,-2184.10676027589
-0.142202,-2332.5930987502243,-2419.9099513839715
0.0166141,-2212.510087828954,-2334.26424361927
-0.0374888,-2262.7051997887575,-2413.6796967922273
-0.0723025,-1597.4838816542892,-2046.1911662121527
0.0563056,-2228.213856122835,-2337.025465820602
0.0198604,-2189.3949897150983,-2219.402060613103
0.149827,-1990.3135899770546,-2180.128227922753
0.0166039,-1188.1531069510825,-1883.3971100058839
-0.0488861,-1306.0953465046764,-1939.9056986107835
-0.00304561,-1215.8077171736188,-1912.2546557321575
-0.0117739,-1186.6660454863952,-1919.4930884940488
-0.0258067,-1849.1837587739697,-2038.0328665537681
0.140142,-1113.7698280580516,-1863.5460959558593
0.0527549,-2369.1841655762596,-2648.039278761191
0.179293,-2771.64080989405,-2414.870994110127
0.173075,-2189.023027836126,-2758.676753547501
0.305771,-2187.738590612329,-2792.096626822756
0.638022,-2040.6264359982008,-2907.8690223115173
0.297984,-2029.1164890297057,-2869.0755405928744
0.286775,-2002.3590611871664,-2842.402342235897
0.513125,-1692.5596028856319,-2002.4524204124818
0.155266,-2251.475514481779,-2748.28798828051
1.038,-2313.962897963458,-2537.6675300950824
1.4266,-2013.3632690369645,-2217.334213303786
0.939524,-2294.4366212313075,-2611.0025103380267
0.876036,-1325.6850406489993,-2928.4642471662282
0.856365,-1372.9680191948519,-2735.887898217602
0.901213,-547.9907316762453,-2963.9735823889023
1.20917,-1649.5058321876354,-2576.006366728443
1.31226,-1896.3658276054568,-2336.5591013082985
1.74352,-946.6429391867648,-1938.5787530020343
3.14461,-2301.806270348391,-2341.2987396989843
2.95971,-2082.1353631140096,-2200.041925963617
1.6055,-782.8081125526475,-1862.6098587102902
4.16044,-1904.5206194468915,-2181.9750175363934
3.22078,-1628.5724871684672,-2075.8850532404863
4.08595,-2412.3040048730036,-2485.079097992696
4.68435,-2473.7940398796973,-2508.699478892657
4.73166,-2279.1066639097317,-2390.3987777933517
3.98993,-1449.557466613094,-2032.764365330132
4.61237,-2258.6526603896564,-2339.828316528885
4.80404,-2219.4396299738105,-2746.6110769764864
5.13099,-2066.337676948557,-2779.8129869635936
4.85765,-1770.6339424711243,-2133.9076377078586
4.76734,-1738.2411920308014,-2122.1830561155607
6.45345,-2132.272675802034,-2591.1914557825526
6.21009,-2124.9170643264924,-2265.662964122061
7.57561,-2318.8691991825576,-2688.8861693882964
7.79973,-2164.4914493973743,-2667.8708834472836
5.85297,-1783.3527778991765,-2095.229188187887
7.46166,-2270.9378923722147,-2402.724487830478
8.92877,-2247.186454604145,-2405.4118222450984
3.41203,-809.2769075418895,-1902.6497980623326
8.25263,-2142.5915688535474,-2565.1383180550743
1.23443,-733.3845002241645,-1862.2007082277287
9.17873,-1906.3436029490529,-2180.837130014099
7.92577,-2296.6589675069386,-2437.2255729461917
4.99415,-1050.5521153555005,-1928.6440480110891
8.7287,-2066.3950918009623,-2800.334341709211
8.99505,-1879.994074762314,-2812.4459448829166
4.67281,-1509.864242272141,-2029.8537252746617
10.4637,-1176.7987979411944,-2793.0581719199095
9.28031,-1474.9564277548634,-2789.8872940987117
10.4292,-1606.284123345343,-2143.3478234145914
11.5566,-2494.7375770622048,-2399.052448733155
11.1507,-2445.5983556464507,-2448.327155829565
10.0459,-1811.4608008616228,-2143.275912987542
7.67414,-1128.139255023568,-1979.5328904263374
11.6137,-1547.9139317250804,-2077.6323932907903
11.0158,-1494.844795724073,-2059.4109025135863
11.1368,-2467.3144569896663,-2553.645737050544
10.8641,-1934.1862271391988,-2201.8555181726892
9.07548,-2025.9080732082714,-2288.0661686851163
3.81884,-1105.1799870607845,-1979.121615486846
9.17334,-1981.2569399908343,-2230.593546624641
9.89826,-1494.518165807546,-2069.234283254216
4.29319,-1131.3682602369147,-1969.6574470311684
9.6421,-1655.3504885732277,-2160.4271042539176
9.96168,-2057.2462575367645,-2503.6966861871274
10.7488,-2242.857909540608,-2483.9652122211
12.1751,-2368.070116335373,-2527.8244418481972
11.9348,-2283.8009168503104,-2346.962247075703
11.8453,-2276.5232847594743,-2603.6657608589567
12.3653,-1616.03924342384,-2779.9426675798704
13.2097,-1782.2959245111513,-2627.62328612477
8.88967,-822.98253514196,-1922.715653420494
14.3123,-2338.742860632302,-2546.5367855309023
14.735,-1964.5766027446352,-2392.633247897347
14.0482,-1718.0479162647594,-2184.7389108545485
12.3601,-1869.8046585943857,-2179.3622707621153
7.14474,-1266.0912641976875,-2008.8176970914506
1.03576,-313.25269716845725,-1793.1834467988335
11.7319,-2138.693470868615,-2446.47966107342
11.1689,-2184.3474339001423,-2511.142396622958
9.99905,-2191.2053975852364,-2483.8020413329127
6.37361,-1344.7743846223611,-2036.7868620768456
